CMDLINE C:\Users\DELL\universityproject\formanai\backend\venv\Scripts\python.exe app.py
MEM 3.468750 1733517950.4300
MEM 3.468750 1733517950.5309
MEM 3.468750 1733517950.6317
MEM 3.468750 1733517950.7327
MEM 3.468750 1733517950.8336
MEM 3.468750 1733517950.9341
MEM 3.468750 1733517951.0346
MEM 3.468750 1733517951.1358
MEM 3.468750 1733517951.2366
MEM 3.468750 1733517951.3372
MEM 3.468750 1733517951.4377
MEM 3.468750 1733517951.5382
MEM 3.468750 1733517951.6385
MEM 3.468750 1733517951.7388
MEM 3.468750 1733517951.8393
MEM 3.468750 1733517951.9397
MEM 3.468750 1733517952.0403
MEM 3.468750 1733517952.1406
MEM 3.468750 1733517952.2413
MEM 3.468750 1733517952.3420
MEM 3.468750 1733517952.4429
MEM 3.468750 1733517952.5434
MEM 3.468750 1733517952.6439
MEM 3.468750 1733517952.7446
MEM 3.468750 1733517952.8452
MEM 3.468750 1733517952.9458
MEM 3.468750 1733517953.0462
MEM 3.468750 1733517953.1468
MEM 3.468750 1733517953.2475
MEM 3.468750 1733517953.3481
MEM 3.468750 1733517953.4490
MEM 3.468750 1733517953.5494
MEM 3.468750 1733517953.6500
MEM 3.468750 1733517953.7504
MEM 3.468750 1733517953.8513
MEM 3.468750 1733517953.9522
MEM 3.468750 1733517954.0528
MEM 3.468750 1733517954.1530
MEM 3.468750 1733517954.2537
MEM 3.468750 1733517954.3543
MEM 3.468750 1733517954.4550
MEM 3.468750 1733517954.5557
MEM 3.468750 1733517954.6563
MEM 3.468750 1733517954.7566
MEM 3.468750 1733517954.8574
MEM 3.468750 1733517954.9581
MEM 3.468750 1733517955.0588
MEM 3.468750 1733517955.1596
MEM 3.468750 1733517955.2599
MEM 3.468750 1733517955.3602
MEM 3.468750 1733517955.4608
MEM 3.468750 1733517955.5613
MEM 3.468750 1733517955.6620
MEM 3.468750 1733517955.7627
MEM 3.468750 1733517955.8629
MEM 3.468750 1733517955.9634
MEM 3.468750 1733517956.0639
MEM 3.468750 1733517956.1642
MEM 3.468750 1733517956.2646
MEM 3.468750 1733517956.3650
MEM 3.468750 1733517956.4653
MEM 3.468750 1733517956.5661
MEM 3.468750 1733517956.6669
MEM 3.468750 1733517956.7675
MEM 3.468750 1733517956.8678
MEM 3.468750 1733517956.9684
MEM 3.468750 1733517957.0694
MEM 3.468750 1733517957.1699
MEM 3.468750 1733517957.2704
MEM 3.468750 1733517957.3709
MEM 3.468750 1733517957.4714
MEM 3.468750 1733517957.5725
MEM 3.468750 1733517957.6733
MEM 3.468750 1733517957.7736
MEM 3.468750 1733517957.8743
MEM 3.468750 1733517957.9750
MEM 3.468750 1733517958.0754
MEM 3.468750 1733517958.1761
MEM 3.468750 1733517958.2769
MEM 3.468750 1733517958.3775
MEM 3.468750 1733517958.4779
MEM 3.468750 1733517958.5783
MEM 3.468750 1733517958.6788
MEM 3.468750 1733517958.7794
MEM 3.468750 1733517958.8800
MEM 3.468750 1733517958.9805
MEM 3.468750 1733517959.0810
MEM 3.468750 1733517959.1818
MEM 3.468750 1733517959.2828
MEM 3.468750 1733517959.3835
MEM 3.468750 1733517959.4842
MEM 3.468750 1733517959.5852
MEM 3.468750 1733517959.6855
MEM 3.468750 1733517959.7864
MEM 3.468750 1733517959.8875
MEM 3.468750 1733517959.9881
MEM 3.468750 1733517960.0887
MEM 3.468750 1733517960.1894
MEM 3.468750 1733517960.2899
MEM 3.468750 1733517960.3904
MEM 3.468750 1733517960.4909
MEM 3.468750 1733517960.5913
